url,height,width
https://i.scdn.co/image/ab6761610000e5ebd7ca315c0e93f4ae74b08eca,640,640
https://i.scdn.co/image/ab67616100005174d7ca315c0e93f4ae74b08eca,320,320
https://i.scdn.co/image/ab6761610000f178d7ca315c0e93f4ae74b08eca,160,160
https://i.scdn.co/image/ab67616d0000b273df69f9f25936875207a6a8dd,640,640
https://i.scdn.co/image/ab67616d00001e02df69f9f25936875207a6a8dd,300,300
https://i.scdn.co/image/ab67616d00004851df69f9f25936875207a6a8dd,64,64
https://i.scdn.co/image/ab6761610000e5ebc7c8ae4ffa1d7f3bfd4aadfa,640,640
https://i.scdn.co/image/ab67616100005174c7c8ae4ffa1d7f3bfd4aadfa,320,320
https://i.scdn.co/image/ab6761610000f178c7c8ae4ffa1d7f3bfd4aadfa,160,160
https://i.scdn.co/image/ab6761610000e5eb844ad06e3ff96e7b88b18660,640,640
https://i.scdn.co/image/ab67616100005174844ad06e3ff96e7b88b18660,320,320
https://i.scdn.co/image/ab6761610000f178844ad06e3ff96e7b88b18660,160,160
https://i.scdn.co/image/ab67616d0000b273501e021bc6b314f504e78bbd,640,640
https://i.scdn.co/image/ab67616d00001e02501e021bc6b314f504e78bbd,300,300
https://i.scdn.co/image/ab67616d00004851501e021bc6b314f504e78bbd,64,64
https://i.scdn.co/image/ab6761610000e5ebf2db4875c81f4d103aefc81a,640,640
https://i.scdn.co/image/ab67616100005174f2db4875c81f4d103aefc81a,320,320
https://i.scdn.co/image/ab6761610000f178f2db4875c81f4d103aefc81a,160,160
https://i.scdn.co/image/ab67616d0000b2737c3c408abc908828a405731b,640,640
https://i.scdn.co/image/ab67616d00001e027c3c408abc908828a405731b,300,300
https://i.scdn.co/image/ab67616d000048517c3c408abc908828a405731b,64,64
https://i.scdn.co/image/ab6761610000e5eb1036554ddc5f791a4f5dcfc3,640,640
https://i.scdn.co/image/ab676161000051741036554ddc5f791a4f5dcfc3,320,320
https://i.scdn.co/image/ab6761610000f1781036554ddc5f791a4f5dcfc3,160,160
https://i.scdn.co/image/ab67616d0000b273771323ba8f7fe1d93fe094ed,640,640
https://i.scdn.co/image/ab67616d00001e02771323ba8f7fe1d93fe094ed,300,300
https://i.scdn.co/image/ab67616d00004851771323ba8f7fe1d93fe094ed,64,64
https://i.scdn.co/image/ab6761610000e5eb1036554ddc5f791a4f5dcfc3,640,640
https://i.scdn.co/image/ab676161000051741036554ddc5f791a4f5dcfc3,320,320
https://i.scdn.co/image/ab6761610000f1781036554ddc5f791a4f5dcfc3,160,160
https://i.scdn.co/image/ab67616d0000b273771323ba8f7fe1d93fe094ed,640,640
https://i.scdn.co/image/ab67616d00001e02771323ba8f7fe1d93fe094ed,300,300
https://i.scdn.co/image/ab67616d00004851771323ba8f7fe1d93fe094ed,64,64
